Date,price
1/2/2015,38
1/5/2015,37
1/6/2015,37
1/7/2015,38
1/8/2015,38
1/9/2015,37
1/12/2015,37
1/13/2015,38
1/14/2015,38
1/15/2015,37
1/16/2015,38
1/20/2015,38
1/21/2015,38
1/22/2015,39
1/23/2015,41
1/26/2015,41
1/27/2015,41
1/28/2015,41
1/29/2015,42
1/30/2015,41
2/2/2015,41
2/3/2015,41
2/4/2015,42
2/5/2015,42
2/6/2015,42
2/9/2015,42
2/10/2015,43
2/11/2015,43
2/12/2015,43
2/13/2015,43
2/17/2015,43
2/18/2015,44
2/19/2015,44
2/20/2015,44
2/23/2015,44
2/24/2015,44
2/25/2015,44
2/26/2015,44
2/27/2015,44
3/2/2015,44
3/3/2015,44
3/4/2015,44
3/5/2015,44
3/6/2015,43
3/9/2015,44
3/10/2015,43
3/11/2015,43
3/12/2015,44
3/13/2015,44
3/16/2015,44
3/17/2015,44
3/18/2015,45
3/19/2015,46
3/20/2015,46
3/23/2015,46
3/24/2015,46
3/25/2015,45
3/26/2015,45
3/27/2015,45
3/30/2015,45
3/31/2015,44
4/1/2015,44
4/2/2015,44
4/6/2015,44
4/7/2015,44
4/8/2015,45
4/9/2015,45
4/10/2015,45
4/13/2015,45
4/14/2015,45
4/15/2015,45
4/16/2015,45
4/17/2015,45
4/20/2015,45
4/21/2015,45
4/22/2015,45
4/23/2015,46
4/24/2015,49
4/27/2015,48
4/28/2015,47
4/29/2015,47
4/30/2015,46
5/1/2015,47
5/4/2015,47
5/5/2015,46
5/6/2015,46
5/7/2015,46
5/8/2015,47
5/11/2015,47
5/12/2015,47
5/13/2015,47
5/14/2015,48
5/15/2015,48
5/18/2015,48
5/19/2015,48
5/20/2015,48
5/21/2015,48
5/22/2015,48
5/26/2015,48
5/27/2015,48
5/28/2015,49
5/29/2015,49
6/1/2015,49
6/2/2015,49
6/3/2015,49
6/4/2015,49
6/5/2015,49
6/8/2015,48
6/9/2015,48
6/10/2015,50
6/11/2015,49
6/12/2015,49
6/15/2015,49
6/16/2015,50
6/17/2015,50
6/18/2015,51
6/19/2015,51
6/22/2015,51
6/23/2015,51
6/24/2015,50
6/25/2015,51
6/26/2015,51
6/29/2015,50
6/30/2015,50
7/1/2015,51
7/2/2015,51
7/6/2015,51
7/7/2015,51
7/8/2015,50
7/9/2015,51
7/10/2015,51
7/13/2015,52
7/14/2015,52
7/15/2015,52
7/16/2015,52
7/17/2015,52
7/20/2015,53
7/21/2015,53
7/22/2015,53
7/23/2015,53
7/24/2015,54
7/27/2015,54
7/28/2015,54
7/29/2015,54
7/30/2015,55
7/31/2015,54
8/3/2015,55
8/4/2015,55
8/5/2015,56
8/6/2015,54
8/7/2015,54
8/10/2015,53
8/11/2015,53
8/12/2015,53
8/13/2015,54
8/14/2015,54
8/17/2015,54
8/18/2015,54
8/19/2015,54
8/20/2015,53
8/21/2015,50
8/24/2015,47
8/25/2015,48
8/26/2015,51
8/27/2015,53
8/28/2015,52
8/31/2015,52
9/1/2015,50
9/2/2015,52
9/3/2015,52
9/4/2015,51
9/8/2015,52
9/9/2015,52
9/10/2015,52
9/11/2015,53
9/14/2015,53
9/15/2015,54
9/16/2015,54
9/17/2015,54
9/18/2015,54
9/21/2015,54
9/22/2015,54
9/23/2015,54
9/24/2015,55
9/25/2015,55
9/28/2015,53
9/29/2015,53
9/30/2015,54
10/1/2015,54
10/2/2015,55
10/5/2015,56
10/6/2015,55
10/7/2015,55
10/8/2015,56
10/9/2015,57
10/12/2015,57
10/13/2015,57
10/14/2015,55
10/15/2015,56
10/16/2015,56
10/19/2015,57
10/20/2015,57
10/21/2015,57
10/22/2015,58
10/23/2015,59
10/26/2015,60
10/27/2015,59
10/28/2015,60
10/29/2015,59
10/30/2015,59
11/2/2015,59
11/3/2015,59
11/4/2015,58
11/5/2015,59
11/6/2015,58
11/9/2015,58
11/10/2015,59
11/11/2015,58
11/12/2015,58
11/13/2015,56
11/16/2015,57
11/17/2015,57
11/18/2015,58
11/19/2015,58
11/20/2015,59
11/23/2015,59
11/24/2015,59
11/25/2015,59
11/27/2015,59
11/30/2015,58
12/1/2015,58
12/2/2015,58
12/3/2015,56
12/4/2015,58
12/7/2015,59
12/8/2015,59
12/9/2015,58
12/10/2015,58
12/11/2015,57
12/14/2015,57
12/15/2015,57
12/16/2015,57
12/17/2015,56
12/18/2015,55
12/21/2015,56
12/22/2015,57
12/23/2015,57
12/24/2015,57
12/28/2015,57
12/29/2015,58
12/30/2015,57
12/31/2015,57
1/4/2016,55
1/5/2016,55
1/6/2016,55
1/7/2016,54
1/8/2016,54
1/11/2016,55
1/12/2016,56
1/13/2016,55
1/14/2016,56
1/15/2016,55
1/19/2016,55
1/20/2016,54
1/21/2016,56
1/22/2016,56
1/25/2016,55
1/26/2016,55
1/27/2016,54
1/28/2016,56
1/29/2016,57
2/1/2016,58
2/2/2016,58
2/3/2016,56
2/4/2016,55
2/5/2016,52
2/8/2016,51
2/9/2016,52
2/10/2016,52
2/11/2016,52
2/12/2016,53
2/16/2016,54
2/17/2016,55
2/18/2016,54
2/19/2016,55
2/22/2016,56
2/23/2016,55
2/24/2016,55
2/25/2016,56
2/26/2016,55
2/29/2016,55
3/1/2016,57
3/2/2016,56
3/3/2016,56
3/4/2016,56
3/7/2016,55
3/8/2016,55
3/9/2016,54
3/10/2016,55
3/11/2016,55
3/14/2016,56
3/15/2016,56
3/16/2016,57
3/17/2016,56
3/18/2016,57
3/21/2016,56
3/22/2016,56
3/23/2016,56
3/24/2016,55
3/28/2016,56
3/29/2016,56
3/30/2016,57
3/31/2016,57
4/1/2016,58
4/4/2016,57
4/5/2016,57
4/6/2016,58
4/7/2016,58
4/8/2016,58
4/11/2016,58
4/12/2016,56
4/13/2016,57
4/14/2016,57
4/15/2016,57
4/18/2016,58
4/19/2016,58
4/20/2016,58
4/21/2016,58
4/22/2016,55
4/25/2016,55
4/26/2016,55
4/27/2016,54
4/28/2016,54
4/29/2016,53
5/2/2016,54
5/3/2016,54
5/4/2016,54
5/5/2016,54
5/6/2016,54
5/9/2016,54
5/10/2016,55
5/11/2016,54
5/12/2016,54
5/13/2016,53
5/16/2016,53
5/17/2016,52
5/18/2016,52
5/19/2016,52
5/20/2016,52
5/23/2016,52
5/24/2016,53
5/25/2016,52
5/26/2016,53
5/27/2016,52
5/31/2016,52
6/1/2016,52
6/2/2016,52
6/3/2016,52
6/6/2016,53
6/7/2016,53
6/8/2016,53
6/9/2016,53
6/10/2016,52
6/13/2016,52
6/14/2016,53
6/15/2016,53
6/16/2016,53
6/17/2016,53
6/20/2016,53
6/21/2016,53
6/22/2016,53
6/23/2016,53
6/24/2016,52
6/27/2016,51
6/28/2016,52
6/29/2016,54
6/30/2016,54
7/1/2016,54
7/5/2016,54
7/6/2016,54
7/7/2016,54
7/8/2016,54
7/11/2016,54
7/12/2016,55
7/13/2016,54
7/14/2016,55
7/15/2016,55
7/18/2016,54
7/19/2016,54
7/20/2016,55
7/21/2016,55
